title,price,rating,reviews,availability
"Sony Xperia Z2 - Qualcomm snapdragon - 16 Go - RAM 3 Go -  Noir - 5.2"" - 4G","248,90",,39 Avis,Not Available
Crosscall Crosscall Core-X5,"440,32",,,Not Available
SAMSUNG Smartphone Galaxy S22 5G Noir EE 8 Go 128 Go And 12 One UI 4.1 Dual SIM IP68 ba,,,,Not Available
doro - téléphone duo sans fil mains-libres dect - com-1010duo,"54,89",,,Not Available
DESIGNATION REF PHILIPS42,"111,91",,,Not Available
DESIGNATION REF PHILIPS43,"105,02",,,Not Available
3S 850VA 510W ONDULEUR OFF,,,,Not Available
Téléphone sans fil Senior Doro PhoneEasy® 100w duo- Noir garantie 24 mois,"61,79",,,Not Available
Prise parafoudre 8 prises + Protection Vidéo + Protection téléphone  PMF83VT-FR,,,,Not Available
Adaptateur USB WiFi bi-bande AC 600 Mbps à gain élevé,,,,Not Available
Nokia 8110 4G Noir Double SIM,,,,Not Available
"2,4'' QVGA - 4G - 4 Go - Kai OS - IP52",,,2 Avis,Not Available
"2,4"""" QVGA - 4G - 4 Go - Kai OS - IP52",,,1 Avis,Not Available
Multiprise/Parafoudre - Eaton Protection Box 8 Tel@ USB FR - 8 prises FR + 1 prise téléphonique + 2 ports USB - Blanc & Noir,,,1 Avis,Not Available
20h d'autonomie - Noir,,,4 Avis,Not Available
18h d'autonomie en communication - 200h en veille - capacité de 25 minutes d'enregistrement,"80,75",,6 Avis,Not Available
18 h d'autonomie,,,2 Avis,Not Available
"Téléphone 1,8"""" QQVGA - 2G - 8Mo - Nokia S30+","36,09",,2 Avis,Not Available
Spider X4 Noir,"140,16",,1 Avis,Not Available
216 DS RM 1187 Noir,"159,95",,1 Avis,Not Available
3310 - Double SIM - Jaune,,,2 Avis,Not Available
3310 - Double SIM - Gris,"79,31",,1 Avis,Not Available
CLE A CHOC MICHELIN,,,1 Avis,Not Available
Téléphone sans fil AS405A Duo Blanc,,,9 Avis,Not Available
Téléphone filaire sans répondeur,,,2 Avis,Not Available
105 Double Sim - Noir,,,2 Avis,Not Available
Realme 9 5G 64GB Téléphone portable Meteor Noir Android 12 4GB,,,,Not Available
SAMSUNG Smartphone Galaxy S22+ 5G Blanc 8 Go 128 Go And 12 One UI 4.1 Dual SIM IP68,"632,10",,,Not Available
TCL 30 64GB MUSE BLUE,,,,Not Available
Maxcom MM42D - Téléphone fixe avec carte SIM 4G adapté senior garantie 24 mois,"118,22",,2 Avis,Not Available
SAMSUNG Smartphone Galaxy S22 ULTRA 5G VERT 12Go 256Go Android 12 Dual SIM IP68 -Stylet,"758,36",,,Not Available
APPLE iPhone 13 Pro Max 128GB Silver DE,,,,Not Available
"Montre Connectée Android GPS 4G 1.54"" Smartwatch 1+8Go Bluetooth WiFi Noir Bleu + SD 8Go YONIS","97,18",,,Not Available
Doro Doro 2404,,,,Not Available
"3.35"""" - Wifi - Bluetooth 4.0 - Raccourci WhatsApp - Noir/Argent",,,,Not Available
Motorola Téléphone portable Moto G52 128 Go Gris anthracite Android 12 Double SIM 4 Go,,,,Not Available
LE TELEPHONE ANIME - FGW66,"20,36",,1 Avis,Not Available
